Property,Block,Trap,Date(m/d/y),Value,Comment
Cobram,BLOCK 1,OFM 1,10/1/2014,0,No pest
,,,10/2/2014,2,
,,,10/3/2014,2,
,,,10/4/2014,2,
,,,10/5/2014,21,
,,,10/6/2014,4,
,,,10/7/2014,6,
,,,10/8/2014,6,
,,,10/9/2014,6,
,,,10/10/2014,8,
,,,10/11/2014,8,
,,,10/12/2014,6,
,,,10/13/2014,16,
,,,10/14/2014,8,
,BLOCK 2,OFM 2,10/1/2014,0,No pest
,,,10/2/2014,0,
,,,10/3/2014,2,
,,,10/4/2014,4,
,,,10/5/2014,0,
,,,10/6/2014,0,
,,,10/7/2014,0,
,,,10/8/2014,0,
,,,10/9/2014,10,
,,,10/10/2014,12,
,,,10/11/2014,26,
,,,10/12/2014,28,
,,,10/13/2014,12,
